Kode,Nama Perusahaan
PALM,Provident Investasi Bersama Tb
PANR,Panorama Sentrawisata Tbk.
PANS,Panin Sekuritas Tbk.
PBRX,Pan Brothers Tbk.
PBSA,Paramita Bangun Sarana Tbk.
PDES,Destinasi Tirta Nusantara Tbk
PEGE,Panca Global Kapital Tbk.
PGAS,Perusahaan Gas Negara Tbk.
PGLI,Pembangunan Graha Lestari Inda
PICO,Pelangi Indah Canindo Tbk
PJAA,Pembangunan Jaya Ancol Tbk.
PKPK,Paragon Karya Perkasa Tbk.
PLAS,Polaris Investama Tbk
PLIN,Plaza Indonesia Realty Tbk.
PNBN,Bank Pan Indonesia Tbk
PNBS,Bank Panin Dubai Syariah Tbk.
PNIN,Paninvest Tbk.
PNLF,Panin Financial Tbk.
PNSE,Pudjiadi & Sons Tbk.
POLY,Asia Pacific Fibers Tbk
POOL,Pool Advista Indonesia Tbk.
PORT,Nusantara Pelabuhan Handal Tbk
POWR,Cikarang Listrindo Tbk.
PPRO,PP Properti Tbk.
,
PRDA,Prodia Widyahusada Tbk.
PSAB,J Resources Asia Pasifik Tbk.
PSDN,Prasidha Aneka Niaga Tbk
PSKT,Red Planet Indonesia Tbk.
PTBA,Bukit Asam Tbk.
PTIS,Indo Straits Tbk.
PTPP,PP (Persero) Tbk.
PTRO,Petrosea Tbk.
PTSN,Sat Nusapersada Tbk
PTSP,Pioneerindo Gourmet Internatio
PUDP,Pudjiadi Prestige Tbk.
PWON,Pakuwon Jati Tbk.
PYFA,Pyridam Farma Tbk
RAJA,Rukun Raharja Tbk.
RANC,Supra Boga Lestari Tbk.
RBMS,Ristia Bintang Mahkotasejati T
RDTX,Roda Vivatex Tbk
RELI,Reliance Sekuritas Indonesia T
RICY,Ricky Putra Globalindo Tbk
RIGS,Rig Tenders Indonesia Tbk.
RIMO,Rimo International Lestari Tbk
RODA,Pikko Land Development Tbk.
SAFE,Steady Safe Tbk
SAME,Sarana Meditama Metropolitan T
SCCO,Supreme Cable Manufacturing & 
SCMA,Surya Citra Media Tbk.
SCPI,Organon Pharma Indonesia Tbk.
SDMU,Sidomulyo Selaras Tbk.
SDPC,Millennium Pharmacon Internati
SDRA,Bank Woori Saudara Indonesia 1
SGRO,Sampoerna Agro Tbk.
SHID,Hotel Sahid Jaya International
SHIP,Sillo Maritime Perdana Tbk.
SIDO,Industri Jamu dan Farmasi Sido
SILO,Siloam International Hospitals
SIMA,Siwani Makmur Tbk
SIMP,Salim Ivomas Pratama Tbk.
SIPD,Sreeya Sewu Indonesia Tbk.
SKBM,Sekar Bumi Tbk.
SKLT,Sekar Laut Tbk.
SKYB,Northcliff Citranusa Indonesia
SMAR,Sinar Mas Agro Resources and T
SMBR,Semen Baturaja Tbk.
SMCB,Solusi Bangun Indonesia Tbk.
SMDM,Suryamas Dutamakmur Tbk.
SMDR,Samudera Indonesia  Tbk.
SMGR,Semen Indonesia (Persero) Tbk.
SMMA,Sinarmas Multiartha Tbk.
SMMT,Golden Eagle Energy Tbk.
SMRA,Summarecon Agung Tbk.
SMRU,SMR Utama Tbk.
SMSM,Selamat Sempurna Tbk.
SOCI,Soechi Lines Tbk.
SONA,Sona Topas Tourism Industry Tb
SPMA,Suparma Tbk.
SQMI,Wilton Makmur Indonesia Tbk.
SRAJ,Sejahteraraya Anugrahjaya Tbk.
SRIL,Sri Rejeki Isman Tbk.
SRSN,Indo Acidatama Tbk
SRTG,Saratoga Investama Sedaya Tbk.
SSIA,Surya Semesta Internusa Tbk.
SSMS,Sawit Sumbermas Sarana Tbk.
SSTM,Sunson Textile Manufacture Tbk
STAR,Buana Artha Anugerah Tbk.
STTP,Siantar Top Tbk.
SULI,SLJ Global Tbk.
SUPR,Solusi Tunas Pratama Tbk.
TALF,Tunas Alfin Tbk.
TARA,Agung Semesta Sejahtera Tbk.
TAXI,Express Transindo Utama Tbk.
TBIG,Tower Bersama Infrastructure T
TBLA,Tunas Baru Lampung Tbk.
TBMS,Tembaga Mulia Semanan Tbk.
TCID,Mandom Indonesia Tbk.
TELE,Omni Inovasi Indonesia Tbk.
TFCO,Tifico Fiber Indonesia Tbk.
TGKA,Tigaraksa Satria Tbk.
TIFA,KDB Tifa Finance Tbk.
TINS,Timah Tbk.
TIRA,Tira Austenite Tbk
TIRT,Tirta Mahakam Resources Tbk
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM,Telkom Indonesia (Persero) Tbk
TMAS,Temas Tbk.
TMPO,Tempo Intimedia Tbk.
TOBA,TBS Energi Utama Tbk.
TOTL,Total Bangun Persada Tbk.
TOTO,Surya Toto Indonesia Tbk.
TOWR,Sarana Menara Nusantara Tbk.
TPIA,Chandra Asri Pacific Tbk.
TPMA,Trans Power Marine Tbk.
TRAM,Trada Alam Minera Tbk.
TRIM,Trimegah Sekuritas Indonesia T
TRIS,Trisula International Tbk.
TRST,Trias Sentosa Tbk.
TRUS,Trust Finance Indonesia Tbk
TSPC,Tempo Scan Pacific Tbk.
,
ULTJ,Ultrajaya Milk Industry & Trad
UNIC,Unggul Indah Cahaya Tbk.
UNIT,Nusantara Inti Corpora Tbk
UNSP,Bakrie Sumatera Plantations Tb
UNTR,United Tractors Tbk.
UNVR,Unilever Indonesia Tbk.
VICO,Victoria Investama Tbk.
VINS,Victoria Insurance Tbk.
VIVA,Visi Media Asia Tbk.
VOKS,Voksel Electric Tbk.
VRNA,Mizuho Leasing Indonesia Tbk.
WAPO,Wahana Pronatural Tbk.
WEHA,WEHA Transportasi Indonesia Tb
WICO,Wicaksana Overseas Internation
WIIM,Wismilak Inti Makmur Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WINS,Wintermar Offshore Marine Tbk.
WOMF,Wahana Ottomitra Multiartha Tb
WSBP,Waskita Beton Precast Tbk.
WSKT,Waskita Karya (Persero) Tbk.
WTON,Wijaya Karya Beton Tbk.
YPAS,Yanaprima Hastapersada Tbk
YULE,Yulie Sekuritas Indonesia Tbk.
ZBRA,Dosni Roha Indonesia Tbk.
